name,pa_url,source_url,org_category,org_classification,popit_id
Portfolio Committee On Transport,http://www.pa.org.za/organisation/portfolio-committee-on-transport/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/133,political,Committee,za.org.pa.www/core_organisation/133
Portfolio Committee On Water and Environmental Affairs,http://www.pa.org.za/organisation/portfolio-committee-on-water-and-environmental-affairs/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/132,political,Committee,za.org.pa.www/core_organisation/132
"Portfolio Committee On Women, Youth, Children and People with Disabilities",http://www.pa.org.za/organisation/portfolio-committee-on-women-youth-children-and-people-with-disabilities/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/122,political,Committee,za.org.pa.www/core_organisation/122
Powers and Privileges of Parliament,http://www.pa.org.za/organisation/powers-and-privileges-of-parliament/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/217,,Ad Hoc Committees,za.org.pa.www/core_organisation/217
Premier and Royal Household Committee,http://www.pa.org.za/organisation/premier-and-royal-household-committee/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/738,political,Kwazulu-Natal-Provincial-Legislature-Committee,za.org.pa.www/core_organisation/738
Presidency,http://www.pa.org.za/organisation/presidency/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/218,,Ad Hoc Committees,za.org.pa.www/core_organisation/218
Presidency - National Planning Commission,http://www.pa.org.za/organisation/presidency-national-planning-commission/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/219,,Ad Hoc Committees,za.org.pa.www/core_organisation/219
Presidency - Performance Monitoring and Evaluation,http://www.pa.org.za/organisation/presidency-performance-monitoring-and-evaluation/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/220,,Ad Hoc Committees,za.org.pa.www/core_organisation/220
Prevention of Organised Crime Second Amendment Bill,http://www.pa.org.za/organisation/prevention-of-organised-crime-second-amendment-bill/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/221,,Ad Hoc Committees,za.org.pa.www/core_organisation/221
Private Members' Legislative Proposals and Special Petitions,http://www.pa.org.za/organisation/private-members-legislative-proposals-and-special-petitions/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/222,political,National Assembly Committees,za.org.pa.www/core_organisation/222
Promotion of Access to Information Bill (Open Democracy Bill),http://www.pa.org.za/organisation/promotion-of-access-to-information-bill-open-democracy-bill/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/223,,Ad Hoc Committees,za.org.pa.www/core_organisation/223
Promotion of Equality and Prevention of Unfair Discrimination Bill,http://www.pa.org.za/organisation/promotion-of-equality-and-prevention-of-unfair-discrimination-bill/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/224,,Ad Hoc Committees,za.org.pa.www/core_organisation/224
Provincial Treasury,http://www.pa.org.za/organisation/provincial-treasury/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/701,political,Western-Cape-Provincial-Committee,za.org.pa.www/core_organisation/701
Public Accounts,http://www.pa.org.za/organisation/public-accounts/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/225,political,National Assembly Committees,za.org.pa.www/core_organisation/225
Public Accounts Committee,http://www.pa.org.za/organisation/public-accounts-committee/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/686,political,Western-Cape-Provincial-Legislature-Committee,za.org.pa.www/core_organisation/686
